word,score
cried,4525
tiars,4524
anode,4523
recta,4523
cires,4523
hared,4523
smote,4523
smile,4523
coast,4523
trans,4522
bayer,4522
ailed,4521
stead,4521
hoser,4521
stope,4521
raced,4521
alist,4521
toran,4520
aiver,4520
piler,4520
arced,4520
olpae,4519
toaze,4519
inter,4519
smite,4519
ayres,4518
wares,4518
suave,4518
tawse,4518
feral,4517
boart,4517
stipe,4517
perai,4516
aside,4516
abler,4516
roist,4516
spine,4516
spart,4516
alowe,4515
loper,4515
bared,4515
bleat,4514
coley,4513
crome,4513
honer,4512
suent,4512
grice,4512
trove,4512
amine,4511
asper,4511
cedar,4510
mealy,4510
comae,4509
lased,4509
crime,4509
barge,4509
frame,4509
rines,4508
ravey,4508
roble,4508
pates,4507
neist,4507
stria,4506
meaty,4506
reaps,4506
lairs,4505
sayed,4505
lutea,4504
paseo,4504
rugae,4504
strep,4504
boner,4504
sural,4503
stied,4503
sloan,4502
artsy,4502
ronde,4502
enact,4501
mitre,4501
taxer,4501
craze,4501
luser,4500
terns,4500
dates,4500
speal,4500
fears,4500
nurse,4499
orals,4498
worse,4498
sithe,4498
gayer,4497
repay,4497
brake,4497
roans,4496
phase,4496
minae,4495
perst,4495
nerol,4494
lotes,4494
toras,4494
salto,4494
antes,4493
trema,4492
agone,4491
teils,4491
pager,4491
sarod,4490
cuter,4490
biter,4490
pales,4489
sured,4489
riels,4488
taros,4488
blite,4488
tapen,4487
alive,4487
stime,4487
tones,4485
apres,4485
bries,4485
whare,4485
auger,4483
regal,4483
facer,4483
surge,4483
dales,4482
spiel,4482
laces,4481
ancle,4481
clary,4481
clean,4480
caver,4480
sedan,4479
urent,4479
piert,4479
goner,4479
hoaed,4478
syren,4478
speir,4478
locie,4477
loipe,4477
anger,4477
prent,4477
tarsi,4476
reams,4476
druse,4476
drave,4476
resto,4475
coral,4474
waste,4474
marge,4474
forel,4473
sited,4473
cable,4473
rials,4471
fayre,4471
saunt,4471
siker,4470
drent,4470
leady,4470
pance,4470
ratio,4469
recit,4469
moner,4469
spaed,4469
wanle,4469
brast,4469
carol,4468
pores,4468
coyer,4467
hates,4467
beany,4467
peals,4466
after,4466
coder,4466
septa,4465
sepia,4464
latke,4464
style,4464
