word,score
flier,18112
taupe,18108
drest,18108
tired,18108
dries,18104
spade,18104
resty,18100
those,18100
cried,18100
tiars,18096
anode,18092
recta,18092
cires,18092
hared,18092
smote,18092
smile,18092
coast,18092
trans,18088
bayer,18088
ailed,18084
stead,18084
hoser,18084
stope,18084
raced,18084
alist,18084
toran,18080
aiver,18080
piler,18080
arced,18080
olpae,18076
toaze,18076
inter,18076
smite,18076
ayres,18072
wares,18072
suave,18072
tawse,18072
feral,18068
boart,18068
stipe,18068
perai,18064
aside,18064
abler,18064
roist,18064
spine,18064
spart,18064
alowe,18060
loper,18060
bared,18060
bleat,18056
coley,18052
crome,18052
honer,18048
suent,18048
grice,18048
trove,18048
amine,18044
asper,18044
cedar,18040
mealy,18040
comae,18036
lased,18036
crime,18036
barge,18036
frame,18036
rines,18032
ravey,18032
roble,18032
pates,18028
neist,18028
stria,18024
meaty,18024
reaps,18024
lairs,18020
sayed,18020
lutea,18016
paseo,18016
rugae,18016
strep,18016
boner,18016
sural,18012
stied,18012
sloan,18008
artsy,18008
ronde,18008
enact,18004
mitre,18004
taxer,18004
craze,18004
luser,18000
terns,18000
dates,18000
speal,18000
fears,18000
nurse,17996
orals,17992
worse,17992
sithe,17992
gayer,17988
repay,17988
brake,17988
roans,17984
phase,17984
minae,17980
perst,17980
nerol,17976
lotes,17976
toras,17976
salto,17976
antes,17972
trema,17968
agone,17964
teils,17964
pager,17964
sarod,17960
cuter,17960
biter,17960
pales,17956
sured,17956
riels,17952
taros,17952
blite,17952
tapen,17948
alive,17948
stime,17948
tones,17940
apres,17940
bries,17940
whare,17940
auger,17932
regal,17932
facer,17932
surge,17932
dales,17928
spiel,17928
laces,17924
ancle,17924
clary,17924
clean,17920
caver,17920
sedan,17916
urent,17916
piert,17916
goner,17916
hoaed,17912
syren,17912
speir,17912
locie,17908
loipe,17908
anger,17908
prent,17908
tarsi,17904
reams,17904
druse,17904
drave,17904
resto,17900
coral,17896
waste,17896
marge,17896
forel,17892
sited,17892
cable,17892
rials,17884
fayre,17884
saunt,17884
siker,17880
drent,17880
leady,17880
pance,17880
ratio,17876
recit,17876
moner,17876
spaed,17876
wanle,17876
brast,17876
carol,17872
pores,17872
coyer,17868
hates,17868
beany,17868
peals,17864
after,17864
coder,17864
septa,17860
sepia,17856
latke,17856
style,17856
scrat,17856
thine,17856
redia,17852
terga,17852
rayed,17852
dance,17852
peats,17848
liers,17844
tapes,17844
dores,17844
inert,17840
apery,17840
shero,17840
shake,17840
satin,17840
cored,17840
deals,17836
bates,17836
valet,17836
ahent,17832
scary,17832
kiore,17828
volae,17824
radge,17824
brule,17824
miter,17820
siled,17820
sapor,17820
tiger,17820
gaper,17820
krone,17820
rains,17816
rosed,17816
siver,17816
super,17816
tiles,17812
ropey,17812
drant,17812
snide,17812
shalt,17812
brute,17808
cosey,17804
noule,17804
ricey,17800
eliad,17800
hales,17796
laity,17796
atoke,17792
olent,17792
solan,17792
laden,17792
teach,17792
timer,17788
sweat,17788
suety,17788
snort,17788
acute,17784
anime,17784
raphe,17784
stein,17784
sowle,17784
snail,17784
smart,17780
liars,17776
pilea,17776
otary,17776
satyr,17776
snirt,17772
trash,17772
yates,17768
triol,17768
coney,17768
salon,17768
diner,17768
bales,17764
cairn,17764
ragde,17764
loran,17760
losen,17760
petal,17760
caneh,17760
soily,17760
tyler,17756
heard,17756
miler,17748
utile,17748
redan,17748
naker,17748
clies,17744
twire,17744
padle,17744
spuer,17744
senti,17740
brave,17740
eards,17736
gates,17736
wears,17736
valse,17736
saith,17736
vares,17732
