earnt,904,1960,780,2128,1372,228,840,616,152,64,76,108,28,4,0,0,0,0,0,0,0,19972
porae,896,2056,1100,1864,1396,360,512,668,216,72,12,64,32,8,0,4,0,0,0,0,0,19968
parle,1060,1820,1224,1868,1224,468,560,548,196,68,60,96,40,16,4,0,4,4,0,0,0,19964
alure,788,2148,892,2108,1348,392,648,492,228,76,68,36,16,16,4,0,0,0,0,0,0,19960
sabre,1112,1912,1296,1560,1412,464,380,632,272,64,24,76,36,20,0,0,0,0,0,0,0,19960
sager,1048,1996,1204,1716,1172,640,572,448,144,148,56,60,16,20,20,0,0,0,0,0,0,19948
scale,1020,2300,1116,1572,1260,508,416,436,324,144,28,56,40,12,24,0,0,0,0,0,4,19912
lares,820,2052,748,2196,1264,204,976,536,220,28,128,36,36,16,0,0,0,0,0,0,0,19908
salue,872,2300,1244,1448,1564,420,348,632,280,44,16,32,40,12,8,0,0,0,0,0,0,19904
react,984,2096,832,1932,1380,272,696,512,208,84,80,104,32,28,4,4,4,4,0,0,4,19904
blare,1164,2004,1088,1688,1204,552,508,440,312,100,72,52,32,16,20,0,4,0,0,0,4,19896
tears,908,2184,580,2236,1100,192,800,676,204,36,160,100,64,12,4,0,0,4,0,0,0,19892
brane,1200,1860,1304,1584,1224,704,540,352,168,188,40,32,24,16,24,0,0,0,0,0,0,19888
toile,816,2144,1244,1740,1524,588,444,376,248,76,20,12,20,8,0,0,0,0,0,0,0,19884
caner,1052,2220,764,1888,1132,612,660,364,200,196,60,40,48,8,12,0,4,0,0,0,0,19884
parse,1080,2020,1180,1708,1188,404,536,612,212,108,48,88,32,24,8,4,4,0,0,0,4,19880
slade,1088,2184,1256,1532,1208,636,308,488,236,180,36,52,16,12,28,0,0,0,0,0,0,19872
rates,908,2088,676,2144,1104,280,1016,484,184,32,216,60,44,20,0,4,0,0,0,0,0,19844
least,884,2444,768,1824,1220,372,604,604,196,56,76,140,16,12,28,4,8,0,0,0,4,19836
slart,976,2444,940,1600,1336,564,432,360,320,156,12,48,32,28,12,0,0,0,0,0,0,19832
toise,816,2296,1408,1588,1308,484,452,424,264,120,24,28,20,20,8,0,0,0,0,0,0,19800
glare,1080,2096,980,1844,1244,524,504,420,256,104,60,64,28,24,16,8,4,0,0,0,4,19796
frate,1164,1924,1284,1680,1132,532,512,464,252,144,64,44,28,16,16,4,0,0,0,0,0,19796
saber,1112,2036,1172,1648,1168,620,568,456,156,168,64,44,24,12,12,0,0,0,0,0,0,19776
rales,820,2080,720,2268,1200,196,1012,492,224,32,124,40,44,8,0,0,0,0,0,0,0,19772
arles,820,2112,688,2076,1400,188,952,692,108,8,136,60,20,0,0,0,0,0,0,0,0,19768
setal,884,2448,764,1832,1260,324,596,608,184,72,72,160,28,0,12,0,12,0,4,0,0,19744
stole,896,2388,1140,1740,1176,608,436,328,264,152,36,16,40,12,24,0,0,0,0,0,4,19740
antre,904,2024,716,2208,1312,208,920,540,160,52,76,88,44,8,0,0,0,0,0,0,0,19736
early,860,2116,948,2224,1104,440,652,432,232,100,56,68,12,4,0,0,8,0,0,0,4,19728
crise,1024,2224,1244,1676,1128,672,424,288,264,188,40,24,20,32,12,0,0,0,0,0,0,19728
stile,1080,2220,1104,1696,1196,600,420,372,292,140,12,28,40,28,28,4,0,0,0,0,0,19724
resat,908,2152,612,2296,1044,188,900,576,180,60,176,116,40,4,4,4,0,0,0,0,0,19720
blaer,1164,2292,800,1632,1248,564,412,568,320,60,52,52,64,20,4,0,0,0,8,0,0,19712
rance,1052,1984,1000,1872,1328,432,588,640,136,56,56,44,44,8,16,0,4,0,0,0,0,19696
atone,764,2180,948,2132,1364,412,672,436,168,92,56,16,4,4,8,0,0,0,0,0,4,19692
reals,820,2280,520,2236,1268,160,892,644,192,32,100,64,48,0,4,0,0,0,0,0,0,19680
irade,884,2364,928,1772,1312,396,692,372,232,100,64,84,28,16,12,4,0,0,0,0,0,19680
learn,848,2212,552,2432,1160,312,724,588,180,64,60,80,28,8,4,0,4,0,0,0,4,19676
reais,672,2324,608,2364,1152,260,1012,468,228,36,72,40,12,4,0,4,4,0,0,0,0,19660
irone,876,2188,1192,1868,1164,448,640,416,208,120,64,32,20,8,16,0,0,0,0,0,0,19656
trice,1108,2036,1216,1692,1268,532,532,348,252,120,48,32,28,12,32,0,0,0,0,0,4,19652
peart,1072,2152,912,1820,1272,312,588,564,260,84,68,96,32,16,8,4,0,0,0,0,0,19644
oriel,744,2412,680,2112,1540,328,524,548,240,72,8,32,20,0,0,0,0,0,0,0,0,19636
morae,920,2196,1052,1828,1348,376,452,724,168,76,44,60,8,4,4,0,0,0,0,0,0,19636
marle,1080,1852,1208,1924,1208,492,556,512,156,80,72,76,28,8,4,0,4,0,0,0,0,19632
sware,1192,2156,1060,1620,1272,572,408,400,236,200,32,64,12,0,32,0,0,4,0,0,0,19628
aiery,648,2236,1016,2188,1400,364,628,532,136,28,20,28,28,4,4,0,0,0,0,0,0,19608
leant,820,2408,936,1848,1348,332,584,512,200,60,64,100,16,16,12,0,0,0,0,0,4,19608
pater,1072,2272,792,1904,948,552,768,392,176,160,120,24,20,20,36,0,0,0,4,0,0,19608
aesir,672,2292,640,2392,1156,228,916,700,128,0,48,44,32,4,0,4,4,0,0,0,0,19600
sauce,972,2288,1428,1284,1648,632,224,352,288,68,0,20,32,8,8,0,0,0,4,0,4,19596
spale,1140,2384,1204,1396,1156,540,368,400,300,160,40,56,60,28,24,0,4,0,0,0,0,19588
dater,1076,2284,700,1916,972,556,828,384,184,152,92,52,12,20,24,8,0,0,0,0,0,19580
anole,724,2344,980,2028,1332,392,664,388,200,76,80,16,16,4,12,0,0,0,4,0,0,19576
lears,820,2336,464,2352,1104,208,908,660,136,56,84,72,40,16,4,0,0,0,0,0,0,19572
shore,1116,2124,1276,1704,1220,616,368,292,192,200,40,24,20,12,48,0,4,0,0,0,4,19572
spate,1152,2356,1148,1432,1232,504,364,428,276,136,24,92,52,32,28,0,0,4,0,0,0,19572
rayle,860,2224,840,2048,1440,280,600,572,184,60,56,56,24,4,0,0,4,8,0,0,0,19564
thrae,1044,2108,868,1892,1348,292,616,620,224,32,72,76,44,8,4,8,4,0,0,0,0,19564
tared,1076,2172,812,1664,1448,332,780,484,252,32,92,48,40,20,0,0,4,4,0,0,0,19564
anile,880,2344,876,1892,1308,412,624,488,216,72,72,20,24,12,16,0,0,4,0,0,0,19560
shire,1092,2264,1248,1564,1232,652,332,324,228,212,28,24,28,4,24,0,0,0,0,0,4,19556
aisle,784,2312,864,2088,1344,268,596,632,208,32,40,52,32,4,0,0,0,0,0,0,4,19548
cares,948,2204,880,1860,1396,260,748,460,240,48,88,64,48,12,0,4,0,0,0,0,0,19548
siren,976,2208,1072,1728,1584,332,376,536,228,52,24,56,64,8,0,0,8,0,4,0,4,19548
marse,1080,2112,1064,1776,1220,476,488,616,172,104,48,60,24,4,12,4,0,0,0,0,0,19548
roset,984,2204,872,1948,1276,288,580,600,208,64,104,76,28,20,4,4,0,0,0,0,0,19544
aster,908,2240,524,2380,748,400,1136,332,184,64,228,44,32,24,12,4,0,0,0,0,0,19540
targe,1104,2032,968,1848,1320,452,612,452,164,88,56,108,36,4,8,4,4,0,0,0,0,19540
paler,1060,2168,876,2080,948,532,684,332,232,124,76,72,20,32,16,0,4,0,0,0,4,19536
paise,940,2344,1300,1516,1392,564,348,396,264,96,8,28,28,16,16,4,0,0,0,0,0,19532
wrate,1188,1912,1228,1764,1220,492,536,368,248,116,76,44,28,12,24,0,4,0,0,0,0,19532
toner,1044,2248,736,2076,1152,480,592,360,228,188,72,40,20,12,8,0,0,0,4,0,0,19520
crone,1144,1980,1480,1620,1048,628,532,336,192,180,28,32,24,12,20,0,0,0,0,0,4,19516
flare,1168,2128,1044,1684,1252,548,500,404,244,116,52,44,40,12,16,0,4,0,0,0,4,19508
lacer,996,2212,684,2264,880,500,820,340,196,136,128,48,16,20,16,0,4,0,0,0,0,19504
crine,1168,2096,1380,1600,996,712,428,304,256,188,56,32,4,16,20,4,0,0,0,0,0,19500
heart,1044,2212,764,1956,1332,244,636,524,240,92,76,76,32,16,4,4,4,0,0,0,4,19484
anise,828,2428,824,2076,1304,432,444,472,240,72,48,24,40,20,8,0,0,0,0,0,0,19476
ronte,1044,1824,1160,2088,1196,424,604,532,208,24,72,56,16,4,4,0,4,0,0,0,0,19476
haole,716,2332,1388,1732,1400,456,472,424,248,36,12,12,24,8,0,0,0,0,0,0,0,19472
corse,1020,2176,1276,1748,1288,408,368,484,216,124,12,56,44,20,16,0,4,0,0,0,0,19468
alien,880,2296,924,1964,1324,324,564,584,212,40,40,44,48,8,4,0,0,0,0,0,4,19464
stade,1052,2376,1060,1640,1228,568,464,344,208,160,20,56,28,20,32,0,0,4,0,0,0,19452
reist,988,2348,836,1784,1280,288,648,624,192,68,64,68,44,24,4,0,0,0,0,0,0,19448
hater,1044,2220,756,2120,852,560,884,292,156,160,108,32,24,24,16,0,8,0,0,0,4,19448
shear,952,2404,808,1868,1348,292,568,488,232,104,76,40,56,0,16,0,0,4,0,0,4,19444
