round,guess_word,best_next_word,no_of_possibilities
2,roate 00010;shunt 20201,calmy,4
3,roate 00010;shunt 20201;calmy 00000,stuff,1
3,roate 00010;shunt 20201;calmy 00002,study,1
3,roate 00010;shunt 20201;calmy 00020,stump,1
3,roate 00010;shunt 20201;calmy 10000,stuck,1
2,roate 00010;shunt 20221,stung,2
3,roate 00010;shunt 20221;stung 22220,stunk,1
3,roate 00010;shunt 20221;stung 22222,stung,1
2,roate 00010;shunt 20222,stunt,1
2,roate 00010;shunt 21002,sight,1
2,roate 00010;shunt 22002,shift,1
2,roate 00010;shunt 22222,shunt,1
1,roate 00011,siled,56
2,roate 00011;siled 00010,eject,4
3,roate 00011;siled 00010;eject 00202,theft,1
3,roate 00011;siled 00010;eject 10021,fetch,1
3,roate 00011;siled 00010;eject 20202,event,1
3,roate 00011;siled 00010;eject 22222,eject,1
2,roate 00011;siled 00011,debut,2
3,roate 00011;siled 00011;debut 12001,teddy,1
3,roate 00011;siled 00011;debut 22222,debut,1
2,roate 00011;siled 00020,beget,4
3,roate 00011;siled 00020;beget 00022,unmet,1
3,roate 00011;siled 00020;beget 01022,tweet,1
3,roate 00011;siled 00020;beget 02022,tenet,1
3,roate 00011;siled 00020;beget 22222,beget,1
2,roate 00011;siled 00021,duvet,1
2,roate 00011;siled 00022,tweed,1
2,roate 00011;siled 00110,cleft,4
3,roate 00011;siled 00110;cleft 01102,exult,1
3,roate 00011;siled 00110;cleft 01202,knelt,1
3,roate 00011;siled 00110;cleft 12202,elect,1
3,roate 00011;siled 00110;cleft 22222,cleft,1
2,roate 00011;siled 00111,dwelt,1
2,roate 00011;siled 00120,betel,2
3,roate 00011;siled 00120;betel 01121,fleet,1
3,roate 00011;siled 00120;betel 22222,betel,1
2,roate 00011;siled 01010,ethic,4
3,roate 00011;siled 01010;ethic 11010,inept,1
3,roate 00011;siled 01010;ethic 11020,befit,1
3,roate 00011;siled 01010;ethic 21011,evict,1
3,roate 00011;siled 01010;ethic 22222,ethic,1
2,roate 00011;siled 01011,debit,2
3,roate 00011;siled 01011;debit 11012,edict,1
3,roate 00011;siled 01011;debit 22222,debit,1
2,roate 00011;siled 01012,fetid,2
3,roate 00011;siled 01012;fetid 02122,tepid,1
3,roate 00011;siled 01012;fetid 22222,fetid,1
2,roate 00011;siled 01020,quiet,2
3,roate 00011;siled 01020;quiet 00221,thief,1
3,roate 00011;siled 01020;quiet 22222,quiet,1
2,roate 00011;siled 01220,inlet,1
2,roate 00011;siled 02010,eight,1
2,roate 00011;siled 02220,filet,1
2,roate 00011;siled 10010,guest,4
3,roate 00011;siled 10010;guest 00222,chest,1
3,roate 00011;siled 10010;guest 01111,fetus,1
3,roate 00011;siled 10010;guest 02222,quest,1
3,roate 00011;siled 10010;guest 22222,guest,1
2,roate 00011;siled 10020,unset,3
3,roate 00011;siled 10020;unset 00222,beset,1
3,roate 00011;siled 10020;unset 20222,upset,1
3,roate 00011;siled 10020;unset 22222,unset,1
2,roate 00011;siled 11010,exist,2
3,roate 00011;siled 11010;exist 10222,heist,1
3,roate 00011;siled 11010;exist 22222,exist,1
2,roate 00011;siled 11220,islet,1
2,roate 00011;siled 20010,scent,4
3,roate 00011;siled 20010;scent 20101,setup,1
3,roate 00011;siled 20010;scent 20202,swept,1
3,roate 00011;siled 20010;scent 20222,spent,1
3,roate 00011;siled 20010;scent 22222,scent,1
2,roate 00011;siled 20020,sheet,3
3,roate 00011;siled 20020;sheet 20221,steep,1
3,roate 00011;siled 20020;sheet 20222,sweet,1
3,roate 00011;siled 20020;sheet 22222,sheet,1
2,roate 00011;siled 20022,steed,1
2,roate 00011;siled 20110,slept,3
3,roate 00011;siled 20110;slept 21202,smelt,1
3,roate 00011;siled 20110;slept 21212,spelt,1
3,roate 00011;siled 20110;slept 22222,slept,1
2,roate 00011;siled 20120,sleet,2
3,roate 00011;siled 20120;sleet 21221,steel,1
3,roate 00011;siled 20120;sleet 22222,sleet,1
2,roate 00011;siled 21010,stein,1
1,roate 00012,cuish,17
2,roate 00012;cuish 00000,tepee,1
2,roate 00012;cuish 00001,theme,2
3,roate 00012;cuish 00001;theme 22022,thyme,1
3,roate 00012;cuish 00001;theme 22222,theme,1
2,roate 00012;cuish 00010,style,1
2,roate 00012;cuish 00020,tense,1
2,roate 00012;cuish 00021,these,1
2,roate 00012;cuish 00100,tilde,2
3,roate 00012;cuish 00100;tilde 22102,title,1
3,roate 00012;cuish 00100;tilde 22222,tilde,1
2,roate 00012;cuish 00101,lithe,2
3,roate 00012;cuish 00101;lithe 02222,tithe,1
3,roate 00012;cuish 00101;lithe 22222,lithe,1
2,roate 00012;cuish 00200,twine,1
2,roate 00012;cuish 01000,etude,1
2,roate 00012;cuish 01100,untie,1
2,roate 00012;cuish 01200,utile,1
2,roate 00012;cuish 02000,tulle,1
2,roate 00012;cuish 10200,twice,1
2,roate 00012;cuish 22100,cutie,1
1,roate 00020,hinds,21
2,roate 00020;hinds 00000,putty,1
2,roate 00020;hinds 00001,agama,3
3,roate 00020;hinds 00001;agama 00000,lusty,1
3,roate 00020;hinds 00001;agama 00010,musty,1
3,roate 00020;hinds 00001;agama 01000,gusty,1
2,roate 00020;hinds 00011,dusty,1
2,roate 00020;hinds 00100,nutty,1
2,roate 00020;hinds 01000,blitz,1
2,roate 00020;hinds 01100,unity,1
2,roate 00020;hinds 02000,batik,4
3,roate 00020;hinds 02000;batik 00110,fifty,1
3,roate 00020;hinds 02000;batik 00210,witty,1
3,roate 00020;hinds 02000;batik 00211,kitty,1
3,roate 00020;hinds 02000;batik 20210,bitty,1
2,roate 00020;hinds 02001,sixty,1
2,roate 00020;hinds 02010,ditty,1
2,roate 00020;hinds 02200,minty,1
2,roate 00020;hinds 11001,smith,1
2,roate 00020;hinds 12000,fifth,2
3,roate 00020;hinds 12000;fifth 22022,filth,1
3,roate 00020;hinds 12000;fifth 22222,fifth,1
2,roate 00020;hinds 12001,sixth,1
2,roate 00020;hinds 12010,width,1
2,roate 00020;hinds 12200,ninth,1
1,roate 00021,plesh,12
2,roate 00021;plesh 00100,deity,2
3,roate 00021;plesh 00100;deity 02022,jetty,1
3,roate 00021;plesh 00100;deity 22222,deity,1
2,roate 00021;plesh 00101,hefty,1
2,roate 00021;plesh 00102,tenth,1
2,roate 00021;plesh 00110,testy,2
3,roate 00021;plesh 00110;testy 02222,zesty,1
3,roate 00021;plesh 00110;testy 22222,testy,1
2,roate 00021;plesh 00202,teeth,1
2,roate 00021;plesh 01100,lefty,1
2,roate 00021;plesh 10100,empty,1
2,roate 00021;plesh 10102,depth,1
2,roate 00021;plesh 20100,petty,1
2,roate 00021;plesh 20200,piety,1
1,roate 00022,muils,10
2,roate 00022;muils 00200,white,1
2,roate 00022;muils 00201,spite,1
2,roate 00022;muils 00210,elite,1
2,roate 00022;muils 01000,chute,1
2,roate 00022;muils 01010,flute,1
2,roate 00022;muils 01200,unite,1
2,roate 00022;muils 02000,butte,1
2,roate 00022;muils 02200,quite,1
2,roate 00022;muils 02201,suite,1
2,roate 00022;muils 10201,smite,1
1,roate 00100,lysin,112
2,roate 00100;lysin 00000,gamma,6
3,roate 00100;lysin 00000;gamma 02002,kappa,1
3,roate 00100;lysin 00000;gamma 02101,macaw,1
3,roate 00100;lysin 00000;gamma 02111,madam,1
3,roate 00100;lysin 00000;gamma 02222,mamma,1
3,roate 00100;lysin 00000;gamma 12122,magma,1
3,roate 00100;lysin 00000;gamma 22222,gamma,1
2,roate 00100;lysin 00001,fauna,2
3,roate 00100;lysin 00001;fauna 02012,manga,1
3,roate 00100;lysin 00001;fauna 22222,fauna,1
2,roate 00100;lysin 00002,human,2
3,roate 00100;lysin 00002;human 00022,pagan,1
3,roate 00100;lysin 00002;human 22222,human,1
2,roate 00100;lysin 00010,pizza,1
2,roate 00100;lysin 00011,aging,4
3,roate 00100;lysin 00011;aging 10110,ninja,1
3,roate 00100;lysin 00011;aging 10220,china,1
3,roate 00100;lysin 00011;aging 20222,aping,1
3,roate 00100;lysin 00011;aging 22222,aging,1
2,roate 00100;lysin 00012,avian,1
2,roate 00100;lysin 00020,adage,6
3,roate 00100;lysin 00020;adage 10000,maxim,1
3,roate 00100;lysin 00020;adage 10010,magic,1
3,roate 00100;lysin 00020;adage 10100,mafia,1
3,roate 00100;lysin 00020;adage 11000,vapid,1
3,roate 00100;lysin 00020;adage 20000,affix,1
3,roate 00100;lysin 00020;adage 21000,aphid,1
2,roate 00100;lysin 00021,mania,3
3,roate 00100;lysin 00021;mania 02220,panic,1
3,roate 00100;lysin 00021;mania 22220,manic,1
3,roate 00100;lysin 00021;mania 22222,mania,1
2,roate 00100;lysin 00022,admin,2
3,roate 00100;lysin 00022;admin 10022,cabin,1
3,roate 00100;lysin 00022;admin 22222,admin,1
2,roate 00100;lysin 00100,scuba,3
3,roate 00100;lysin 00100;scuba 20201,squad,1
3,roate 00100;lysin 00100;scuba 21101,sumac,1
3,roate 00100;lysin 00100;scuba 22222,scuba,1
2,roate 00100;lysin 00101,sauna,1
2,roate 00100;lysin 00110,amiss,2
3,roate 00100;lysin 00110;amiss 11110,sigma,1
3,roate 00100;lysin 00110;amiss 22222,amiss,1
2,roate 00100;lysin 00220,basic,2
3,roate 00100;lysin 00220;basic 22220,basis,1
3,roate 00100;lysin 00220;basic 22222,basic,1
2,roate 00100;lysin 00222,basin,1
2,roate 00100;lysin 01000,cadgy,13
3,roate 00100;lysin 01000;cadgy 02001,kayak,1
3,roate 00100;lysin 01000;cadgy 02002,abamp,3
4,roate 00100;lysin 01000;cadgy 02002;abamp 10000,jazzy,1
4,roate 00100;lysin 01000;cadgy 02002;abamp 10001,happy,1
4,roate 00100;lysin 01000;cadgy 02002;abamp 10020,mammy,1
3,roate 00100;lysin 01000;cadgy 02012,gawky,1
3,roate 00100;lysin 01000;cadgy 02022,baggy,1
3,roate 00100;lysin 01000;cadgy 02102,bawdy,1
3,roate 00100;lysin 01000;cadgy 02112,gaudy,1
3,roate 00100;lysin 01000;cadgy 02202,daddy,2
4,roate 00100;lysin 01000;cadgy 02202;daddy 02222,paddy,1
4,roate 00100;lysin 01000;cadgy 02202;daddy 22222,daddy,1
3,roate 00100;lysin 01000;cadgy 12002,wacky,1
3,roate 00100;lysin 01000;cadgy 22002,cabby,1
3,roate 00100;lysin 01000;cadgy 22202,caddy,1
2,roate 00100;lysin 01001,chang,8
3,roate 00100;lysin 01001;chang 00110,dandy,1
3,roate 00100;lysin 01001;chang 00111,mangy,1
3,roate 00100;lysin 01001;chang 00120,fanny,2
4,roate 00100;lysin 01001;chang 00120;fanny 02222,nanny,1
4,roate 00100;lysin 01001;chang 00120;fanny 22222,fanny,1
3,roate 00100;lysin 01001;chang 01110,handy,1
3,roate 00100;lysin 01001;chang 10110,fancy,1
3,roate 00100;lysin 01001;chang 20110,candy,1
3,roate 00100;lysin 01001;chang 20120,canny,1
2,roate 00100;lysin 01100,ampul,4
3,roate 00100;lysin 01100;ampul 10000,savvy,1
3,roate 00100;lysin 01100;ampul 10010,saucy,1
3,roate 00100;lysin 01100;ampul 10200,sappy,1
3,roate 00100;lysin 01100;ampul 20000,abyss,1
2,roate 00100;lysin 01101,pansy,2
3,roate 00100;lysin 01101;pansy 02212,sandy,1
3,roate 00100;lysin 01101;pansy 22222,pansy,1
2,roate 00100;lysin 01110,daisy,1
2,roate 00100;lysin 01200,gassy,3
3,roate 00100;lysin 01200;gassy 01212,assay,1
3,roate 00100;lysin 01200;gassy 02222,sassy,1
3,roate 00100;lysin 01200;gassy 22222,gassy,1
2,roate 00100;lysin 10000,alpha,7
3,roate 00100;lysin 10000;alpha 11000,caulk,1
3,roate 00100;lysin 10000;alpha 11001,cabal,1
3,roate 00100;lysin 10000;alpha 11200,pupal,1
3,roate 00100;lysin 10000;alpha 11201,papal,1
3,roate 00100;lysin 10000;alpha 21000,awful,1
3,roate 00100;lysin 10000;alpha 22000,album,1
3,roate 00100;lysin 10000;alpha 22222,alpha,1
2,roate 00100;lysin 10001,banal,4
3,roate 00100;lysin 10001;banal 01202,annul,1
3,roate 00100;lysin 10001;banal 02122,naval,1
3,roate 00100;lysin 10001;banal 02222,canal,1
3,roate 00100;lysin 10001;banal 22222,banal,1
2,roate 00100;lysin 10010,alibi,4
3,roate 00100;lysin 10010;alibi 11100,villa,1
3,roate 00100;lysin 10010;alibi 12201,iliac,1
3,roate 00100;lysin 10010;alibi 21200,axial,1
3,roate 00100;lysin 10010;alibi 22222,alibi,1
2,roate 00100;lysin 10011,final,1
2,roate 00100;lysin 10012,align,1
2,roate 00100;lysin 10020,cavil,2
3,roate 00100;lysin 10020;cavil 02121,valid,1
3,roate 00100;lysin 10020;cavil 22222,cavil,1
2,roate 00100;lysin 10021,anvil,1
2,roate 00100;lysin 10100,salad,3
3,roate 00100;lysin 10100;salad 10120,usual,1
3,roate 00100;lysin 10100;salad 22210,salsa,1
3,roate 00100;lysin 10100;salad 22222,salad,1
2,roate 00100;lysin 10200,basal,1
2,roate 00100;lysin 10201,nasal,1
2,roate 00100;lysin 10220,basil,1
2,roate 00100;lysin 11000,balmy,8
3,roate 00100;lysin 11000;balmy 01102,apply,1
3,roate 00100;lysin 11000;balmy 01112,amply,1
3,roate 00100;lysin 11000;balmy 01202,allay,1
3,roate 00100;lysin 11000;balmy 02102,gayly,1
3,roate 00100;lysin 11000;balmy 02112,madly,1
3,roate 00100;lysin 11000;balmy 02202,dally,1
3,roate 00100;lysin 11000;balmy 22102,badly,1
3,roate 00100;lysin 11000;balmy 22222,balmy,1
2,roate 00100;lysin 11001,manly,1
2,roate 00100;lysin 11010,daily,2
3,roate 00100;lysin 11010;daily 02222,gaily,1
3,roate 00100;lysin 11010;daily 22222,daily,1
2,roate 00100;lysin 11011,inlay,1
2,roate 00100;lysin 11100,palsy,3
3,roate 00100;lysin 11100;palsy 02112,sadly,1
3,roate 00100;lysin 11100;palsy 02212,sally,1
3,roate 00100;lysin 11100;palsy 22222,palsy,1
2,roate 00100;lysin 12000,bylaw,1
2,roate 00100;lysin 20000,laugh,1
2,roate 00100;lysin 20010,lilac,1
2,roate 00100;lysin 21001,lanky,1
1,roate 00101,genal,55
2,roate 00101;genal 01010,abbey,2
3,roate 00101;genal 01010;abbey 20020,askew,1
3,roate 00101;genal 01010;abbey 22222,abbey,1
2,roate 00101;genal 01011,abled,2
3,roate 00101;genal 01011;abled 20220,alley,1
3,roate 00101;genal 01011;abled 22222,abled,1
2,roate 00101;genal 01012,bachs,5
3,roate 00101;genal 01012;bachs 02000,lapel,1
3,roate 00101;genal 01012;bachs 02001,easel,1
3,roate 00101;genal 01012;bachs 02010,hazel,1
3,roate 00101;genal 01012;bachs 02100,camel,1
3,roate 00101;genal 01012;bachs 12000,label,1
2,roate 00101;genal 01020,ahead,4
3,roate 00101;genal 01020;ahead 00120,essay,1
3,roate 00101;genal 01020;ahead 00220,speak,1
3,roate 00101;genal 01020;ahead 02220,cheap,1
3,roate 00101;genal 01020;ahead 22222,ahead,1
2,roate 00101;genal 01021,bleak,2
3,roate 00101;genal 01021;bleak 02220,plead,1
3,roate 00101;genal 01021;bleak 22222,bleak,1
2,roate 00101;genal 01022,equal,2
3,roate 00101;genal 01022;equal 10022,ideal,1
3,roate 00101;genal 01022;equal 22222,equal,1
2,roate 00101;genal 01110,ashen,6
3,roate 00101;genal 01110;ashen 10011,enema,1
3,roate 00101;genal 01110;ashen 10022,waxen,1
3,roate 00101;genal 01110;ashen 10111,hyena,1
3,roate 00101;genal 01110;ashen 10122,haven,1
3,roate 00101;genal 01110;ashen 20011,amend,1
3,roate 00101;genal 01110;ashen 22222,ashen,1
2,roate 00101;genal 01111,alien,2
3,roate 00101;genal 01111;alien 11022,laden,1
3,roate 00101;genal 01111;alien 22222,alien,1
2,roate 00101;genal 01112,navel,1
2,roate 00101;genal 01120,knead,2
3,roate 00101;genal 01120;knead 12220,sneak,1
3,roate 00101;genal 01120;knead 22222,knead,1
2,roate 00101;genal 01121,clean,1
2,roate 00101;genal 01210,annex,2
3,roate 00101;genal 01210;annex 20220,apnea,1
3,roate 00101;genal 01210;annex 22222,annex,1
2,roate 00101;genal 01212,panel,1
2,roate 00101;genal 02010,mecca,3
3,roate 00101;genal 02010;mecca 02002,sepia,1
3,roate 00101;genal 02010;mecca 22002,media,1
3,roate 00101;genal 02010;mecca 22222,mecca,1
2,roate 00101;genal 02011,fella,1
2,roate 00101;genal 02020,decay,2
3,roate 00101;genal 02020;decay 02020,kebab,1
3,roate 00101;genal 02020;decay 22222,decay,1
2,roate 00101;genal 02021,delay,1
2,roate 00101;genal 02022,medal,4
3,roate 00101;genal 02022;medal 02022,fecal,1
3,roate 00101;genal 02022;medal 02122,decal,1
3,roate 00101;genal 02022;medal 02222,pedal,1
3,roate 00101;genal 02022;medal 22222,medal,1
2,roate 00101;genal 02120,pecan,2
3,roate 00101;genal 02120;pecan 02022,sedan,1
3,roate 00101;genal 02120;pecan 22222,pecan,1
2,roate 00101;genal 02222,penal,1
2,roate 00101;genal 11010,cagey,1
2,roate 00101;genal 11012,bagel,1
2,roate 00101;genal 11112,angel,1
2,roate 00101;genal 12022,legal,1
2,roate 00101;genal 12120,began,2
3,roate 00101;genal 12120;began 02222,vegan,1
3,roate 00101;genal 12120;began 22222,began,1
2,roate 00101;genal 21012,gavel,1
2,roate 00101;genal 21021,gleam,1
2,roate 00101;genal 21121,glean,1
1,roate 00102,mauls,45
2,roate 00102;mauls 01000,abide,1
2,roate 00102;mauls 01001,aside,1
2,roate 00102;mauls 01010,alike,3
3,roate 00102;mauls 01010;alike 22002,algae,1
3,roate 00102;mauls 01010;alike 22202,alive,1
3,roate 00102;mauls 01010;alike 22222,alike,1
2,roate 00102;mauls 01020,angle,4
3,roate 00102;mauls 01020;angle 20022,apple,1
3,roate 00102;mauls 01020;angle 20122,agile,1
3,roate 00102;mauls 01020;angle 22022,ankle,1
3,roate 00102;mauls 01020;angle 22222,angle,1
2,roate 00102;mauls 01021,aisle,1
2,roate 00102;mauls 01201,abuse,1
2,roate 00102;mauls 02000,anigh,7
3,roate 00102;mauls 02000;anigh 10000,payee,1
3,roate 00102;mauls 02000;anigh 10001,cache,1
3,roate 00102;mauls 02000;anigh 10010,gaffe,1
3,roate 00102;mauls 02000;anigh 10020,badge,1
3,roate 00102;mauls 02000;anigh 10200,waive,1
3,roate 00102;mauls 02000;anigh 11000,dance,1
3,roate 00102;mauls 02000;anigh 11200,naive,1
2,roate 00102;mauls 02010,halve,3
3,roate 00102;mauls 02010;halve 02102,lance,1
3,roate 00102;mauls 02010;halve 02222,valve,1
3,roate 00102;mauls 02010;halve 22222,halve,1
2,roate 00102;mauls 02011,false,3
3,roate 00102;mauls 02011;false 02122,lapse,1
3,roate 00102;mauls 02011;false 02212,salve,1
3,roate 00102;mauls 02011;false 22222,false,1
2,roate 00102;mauls 02020,abcee,4
3,roate 00102;mauls 02020;abcee 10002,ladle,1
3,roate 00102;mauls 02020;abcee 10012,eagle,1
3,roate 00102;mauls 02020;abcee 11002,fable,1
3,roate 00102;mauls 02020;abcee 11102,cable,1
2,roate 00102;mauls 02100,vague,1
2,roate 00102;mauls 02110,value,1
2,roate 00102;mauls 02200,gauge,2
3,roate 00102;mauls 02200;gauge 22202,gauze,1
3,roate 00102;mauls 02200;gauge 22222,gauge,1
2,roate 00102;mauls 02201,cause,3
3,roate 00102;mauls 02201;cause 02222,pause,1
3,roate 00102;mauls 02201;cause 12212,sauce,1
3,roate 00102;mauls 02201;cause 22222,cause,1
2,roate 00102;mauls 11000,anime,1
2,roate 00102;mauls 11020,amble,2
3,roate 00102;mauls 11020;amble 22022,ample,1
3,roate 00102;mauls 11020;amble 22222,amble,1
2,roate 00102;mauls 11201,amuse,1
2,roate 00102;mauls 22000,abaci,3
3,roate 00102;mauls 22000;abaci 10000,mange,1
3,roate 00102;mauls 22000;abaci 10001,maize,1
3,roate 00102;mauls 22000;abaci 11000,maybe,1
2,roate 00102;mauls 22001,masse,1
2,roate 00102;mauls 22020,maple,1
2,roate 00102;mauls 22200,mauve,1
1,roate 00110,clint,50
2,roate 00110;clint 00001,tabby,4
3,roate 00110;clint 00001;tabby 12000,datum,1
3,roate 00110;clint 00001;tabby 12002,patsy,1
3,roate 00110;clint 00001;tabby 22002,taffy,1
3,roate 00110;clint 00001;tabby 22222,tabby,1
2,roate 00110;clint 00002,gamut,2
3,roate 00110;clint 00002;gamut 01012,squat,1
3,roate 00110;clint 00002;gamut 22222,gamut,1
2,roate 00110;clint 00011,tangy,1
2,roate 00110;clint 00012,angst,1
2,roate 00110;clint 00021,tawny,1
2,roate 00110;clint 00022,dight,6
3,roate 00110;clint 00022;dight 00002,ajiva,3
4,roate 00110;clint 00022;dight 00002;ajiva 10000,taunt,1
4,roate 00110;clint 00022;dight 00002;ajiva 10010,vaunt,1
4,roate 00110;clint 00022;dight 00002;ajiva 11000,jaunt,1
3,roate 00110;clint 00022;dight 00012,haunt,1
3,roate 00110;clint 00022;dight 00102,gaunt,1
3,roate 00110;clint 00022;dight 20002,daunt,1
2,roate 00110;clint 00101,tibia,1
2,roate 00110;clint 00102,admit,3
3,roate 00110;clint 00102;admit 10022,habit,1
3,roate 00110;clint 00102;admit 21022,audit,1
3,roate 00110;clint 00102;admit 22222,admit,1
2,roate 00110;clint 00111,satin,2
3,roate 00110;clint 00111;satin 01212,titan,1
3,roate 00110;clint 00111;satin 22222,satin,1
2,roate 00110;clint 00202,waist,1
2,roate 00110;clint 00222,fetts,4
3,roate 00110;clint 00222;fetts 00100,paint,1
3,roate 00110;clint 00222;fetts 00101,saint,1
3,roate 00110;clint 00222;fetts 00110,taint,1
3,roate 00110;clint 00222;fetts 20100,faint,1
2,roate 00110;clint 01001,aptly,4
3,roate 00110;clint 01001;aptly 10110,tubal,1
3,roate 00110;clint 01001;aptly 10122,tally,1
3,roate 00110;clint 01001;aptly 10210,fatal,1
3,roate 00110;clint 01001;aptly 22222,aptly,1
2,roate 00110;clint 01002,fault,4
3,roate 00110;clint 01002;fault 01012,splat,1
3,roate 00110;clint 01002;fault 01222,adult,1
3,roate 00110;clint 01002;fault 02222,vault,1
3,roate 00110;clint 01002;fault 22222,fault,1
2,roate 00110;clint 01011,natal,1
2,roate 00110;clint 01101,tidal,2
3,roate 00110;clint 01101;tidal 12022,vital,1
3,roate 00110;clint 01101;tidal 22222,tidal,1
2,roate 00110;clint 10001,bumph,6
3,roate 00110;clint 10001;bumph 00000,tacky,1
3,roate 00110;clint 10001;bumph 00002,hatch,2
4,roate 00110;clint 10001;bumph 00002;hatch 02222,watch,1
4,roate 00110;clint 10001;bumph 00002;hatch 22222,hatch,1
3,roate 00110;clint 10001;bumph 00012,patch,1
3,roate 00110;clint 10001;bumph 00102,match,1
3,roate 00110;clint 10001;bumph 20002,batch,1
2,roate 00110;clint 10002,yacht,1
2,roate 00110;clint 10101,attic,1
2,roate 00110;clint 10102,tacit,1
2,roate 00110;clint 10111,antic,1
2,roate 00110;clint 11001,latch,1
2,roate 00110;clint 20001,catch,1
2,roate 00110;clint 20002,caput,1
1,roate 00111,clept,25
2,roate 00111;clept 00101,eaten,3
3,roate 00111;clept 00101;eaten 02122,taken,1
3,roate 00111;clept 00101;eaten 02220,matey,1
3,roate 00111;clept 00101;eaten 22222,eaten,1
2,roate 00111;clept 00102,asset,2
3,roate 00111;clept 00102;asset 10012,begat,1
3,roate 00111;clept 00102;asset 22222,asset,1
2,roate 00111;clept 00201,adsum,4
3,roate 00111;clept 00201;adsum 10000,tweak,1
3,roate 00111;clept 00201;adsum 10100,steak,1
3,roate 00111;clept 00201;adsum 10102,steam,1
3,roate 00111;clept 00201;adsum 11100,stead,1
2,roate 00111;clept 00202,sweat,3
3,roate 00111;clept 00202;sweat 00212,agent,1
3,roate 00111;clept 00202;sweat 01222,wheat,1
3,roate 00111;clept 00202;sweat 22222,sweat,1
2,roate 00111;clept 00222,adept,1
2,roate 00111;clept 01101,fetal,2
3,roate 00111;clept 01101;fetal 02222,metal,1
3,roate 00111;clept 01101;fetal 22222,fetal,1
2,roate 00111;clept 01102,valet,1
2,roate 00111;clept 01111,petal,1
2,roate 00111;clept 01201,steal,1
2,roate 00111;clept 02202,bleat,1
2,roate 00111;clept 02212,pleat,1
2,roate 00111;clept 10102,facet,1
2,roate 00111;clept 11102,eclat,1
2,roate 00111;clept 20102,cadet,1
2,roate 00111;clept 20202,cheat,1
2,roate 00111;clept 22202,cleat,1
1,roate 00112,bathe,3
2,roate 00112;bathe 02222,lathe,1
2,roate 00112;bathe 12102,table,1
2,roate 00112;bathe 22222,bathe,1
1,roate 00120,snipy,18
2,roate 00120;snipy 00000,waltz,1
2,roate 00120;snipy 00002,abaca,4
3,roate 00120;snipy 00002;abaca 10000,fatty,2
4,roate 00120;snipy 00002;abaca 10000;fatty 02222,tatty,1
4,roate 00120;snipy 00002;abaca 10000;fatty 22222,fatty,1
3,roate 00120;snipy 00002;abaca 10010,catty,1
3,roate 00120;snipy 00002;abaca 11000,batty,1
2,roate 00120;snipy 00012,patty,1
2,roate 00120;snipy 00100,cacti,1
2,roate 00120;snipy 00200,faith,1
2,roate 00120;snipy 00202,amity,1
2,roate 00120;snipy 01000,junta,1
2,roate 00120;snipy 01002,aunty,1
2,roate 00120;snipy 10002,hasty,2
3,roate 00120;snipy 10002;hasty 02222,tasty,1
3,roate 00120;snipy 10002;hasty 22222,hasty,1
2,roate 00120;snipy 10010,pasta,1
2,roate 00120;snipy 10012,pasty,1
2,roate 00120;snipy 10100,vista,1
2,roate 00120;snipy 11002,nasty,1
2,roate 00120;snipy 20002,salty,1
1,roate 00121,delta,2
2,roate 00121;delta 01022,theta,1
2,roate 00121;delta 22222,delta,1
1,roate 00122,butch,10
2,roate 00122;butch 00100,attap,3
3,roate 00122;butch 00100;attap 11000,waste,1
3,roate 00122;butch 00100;attap 11001,paste,1
3,roate 00122;butch 00100;attap 11100,taste,1
2,roate 00122;butch 00101,haste,1
2,roate 00122;butch 00110,caste,1
2,roate 00122;butch 00200,latte,1
2,roate 00122;butch 01100,saute,1
2,roate 00122;butch 01101,haute,1
2,roate 00122;butch 01110,acute,1
2,roate 00122;butch 20100,baste,1
1,roate 00200,slick,71
2,roate 00200;slick 00000,guava,1
2,roate 00200;slick 00010,chaff,2
3,roate 00200;slick 00010;chaff 22200,champ,1
3,roate 00200;slick 00010;chaff 22222,chaff,1
2,roate 00200;slick 00022,abuna,4
3,roate 00200;slick 00022;abuna 10000,whack,1
3,roate 00200;slick 00022;abuna 10010,knack,1
3,roate 00200;slick 00022;abuna 10100,quack,1
3,roate 00200;slick 00022;abuna 22001,aback,1
2,roate 00200;slick 00100,again,1
2,roate 00200;slick 00101,khaki,1
2,roate 00200;slick 00110,chain,1
2,roate 00200;slick 01000,qualm,1
2,roate 00200;slick 01012,chalk,1
2,roate 00200;slick 01100,avail,2
3,roate 00200;slick 01100;avail 00222,quail,1
3,roate 00200;slick 01100;avail 22222,avail,1
2,roate 00200;slick 02000,abamp,4
3,roate 00200;slick 02000;abamp 00200,gland,1
3,roate 00200;slick 02000;abamp 01200,bland,1
3,roate 00200;slick 02000;abamp 10201,plaza,1
3,roate 00200;slick 02000;abamp 10220,llama,1
2,roate 00200;slick 02001,flaky,1
2,roate 00200;slick 02002,abaft,3
3,roate 00200;slick 02002;abaft 00200,plank,1
3,roate 00200;slick 02002;abaft 00210,flank,1
3,roate 00200;slick 02002;abaft 01200,blank,1
2,roate 00200;slick 02010,clamp,2
3,roate 00200;slick 02010;clamp 22200,clang,1
3,roate 00200;slick 02010;clamp 22222,clamp,1
2,roate 00200;slick 02012,clank,1
2,roate 00200;slick 02022,abaft,3
3,roate 00200;slick 02022;abaft 00200,clack,1
