word,score
12+85=97,97441
93-65=28,97440
19+54=73,97435
67-29=38,97432
70-12=58,97428
15+82=97,97428
34+61=95,97425
64+19=83,97420
70-29=41,97404
31+45=76,97397
8+7-3=12,97397
67-39=28,97393
7+8-2=13,97390
4*2+8=16,97385
17+23=40,97367
83-56=27,97365
89-65=24,97344
90-72=18,97338
25+71=96,97334
79-23=56,97334
2*9-5=13,97330
70-49=21,97326
14+65=79,97324
60-13=47,97322
13+27=40,97303
19+48=67,97300
89-64=25,97288
9+7-2=14,97281
80-51=29,97279
7+9-2=14,97266
28+51=79,97265
15+64=79,97265
8+7-2=13,97245
6*2+3=15,97244
93-68=25,97243
61+34=95,97237
67-28=39,97236
70-18=52,97218
9+7-4=12,97212
69+14=83,97210
18+39=57,97209
9*2-3=15,97205
67-38=29,97197
7+9-4=12,97197
60-17=43,97191
82+15=97,97168
21+74=95,97157
85+12=97,97155
18+42=60,97131
90-78=12,97128
48+17=65,97126
79-53=26,97121
97-32=65,97118
97-35=62,97105
14+83=97,97103
3*9-1=26,97080
58+16=74,97076
56+18=74,97071
12+48=60,97067
65+13=78,97060
79-26=53,97049
98-23=75,97046
9*2-5=13,97040
18+76=94,96999
16+78=94,96994
19+38=57,96981
80-63=17,96979
9+8-2=15,96976
90-12=78,96973
47+18=65,96971
48+31=79,96969
9+8-5=12,96963
80-29=51,96962
65+19=84,96962
2*7+4=18,96945
51+28=79,96933
80-31=49,96920
63+15=78,96918
2*4+7=15,96917
4*6+1=25,96908
13+84=97,96902
38+41=79,96900
56+31=87,96890
80-41=39,96881
98-25=73,96881
9*3-1=26,96876
31+64=95,96874
95-27=68,96863
80-67=13,96848
21+75=96,96842
79-56=23,96836
84+13=97,96830
8+9-2=15,96816
18+32=50,96812
69+15=84,96811
16+73=89,96811
8+9-5=12,96803
3*7-2=19,96803
97-62=35,96803
54+19=73,96802
70-14=56,96791
97-65=32,96790
3*7-9=12,96789
6*4+1=25,96782
94-36=58,96779
90-18=72,96763
2*8+3=19,96763
45+23=68,96757
80-59=21,96749
12+38=50,96748
70-16=54,96727
36+51=87,96725
86-27=59,96704
94-38=56,96702
90-74=16,96701
21+58=79,96696
64+15=79,96679
86-29=57,96669
4*2+7=15,96660
9+8-3=14,96648
37+19=56,96644
7*2+4=18,96640
90-76=14,96637
95-28=67,96632
85-39=46,96632
9-3+6=12,96631
83+14=97,96629
65+14=79,96620
25+43=68,96616
43+25=68,96615
14+75=89,96613
94-56=38,96605
13+76=89,96597
56+41=97,96593
85-49=36,96593
59+14=73,96592
3*5+2=17,96590
48+19=67,96589
7*3-2=19,96584
78+16=94,96584
2*3+9=15,96582
76+18=94,96579
39+17=56,96571
7*3-9=12,96570
6-3+9=12,96557
9-2+6=13,96557
15+74=89,96554
89-37=52,96553
1+6*4=25,96547
89-32=57,96532
94-58=36,96528
2*6+5=17,96520
67+31=98,96516
85-36=49,96513
95-67=28,96509
46+51=97,96497
3*2+9=15,96496
86-57=29,96491
8+9-3=14,96488
6-2+9=13,96483
1+4*6=25,96475
54+37=91,96475
85-46=39,96474
23+45=68,96474
98-73=25,96464
86-59=27,96456
3*4+6=18,96438
3*8+1=25,96432
3*9-6=21,96431
9+8-4=13,96427
41+38=79,96400
76+13=89,96396
80-39=41,96390
80-13=67,96386
2*4+9=17,96380
89-57=32,96379
54+32=86,96377
18+75=93,96367
49+18=67,96361
89-52=37,96358
80-49=31,96351
5*3+2=17,96348
57+34=91,96338
90-14=76,96336
31+48=79,96331
52+34=86,96331
51+36=87,96326
8*2+3=19,96313
34+57=91,96310
98-75=23,96299
15+78=93,96290
27+13=40,96287
95-68=27,96278
8+2*3=14,96278
